epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
149	0.7	-0.3	0.21700001	61.6875	49.0	148999	-0.12917739	0.014461222	10582.721957	0.05080822
150	0.4	-0.41058823	-0.33399996	59.117645	73.8	149999	-0.10370891	0.014691981	10657.7524331	0.050655197
151	0.9	0.10545454	0.75	44.636364	15.9	150999	-0.0960945	0.014680583	10713.7932072	0.050732728
152	0.5	-0.53846157	-0.02200001	77.15385	52.7	151999	-0.10099589	0.015237142	10780.0793819	0.049496856
153	0.2	0.0054166317	-0.644	41.875	84.6	152999	-0.11156423	0.014782884	10861.1421571	0.051154565
154	0.6	-0.3217647	0.040000003	56.294117	26.9	153999	-0.121603325	0.014604967	10919.019006	0.04949348
155	0.6	-0.17839998	0.164	42.64	44.2	154999	-0.134104	0.014668455	10982.1473651	0.049825437
156	0.6	-0.4533333	0.18200001	32.8	42.4	155999	-0.15102412	0.015672512	11042.0553761	0.047839988
157	0.7	-0.32153848	0.37500003	71.0	33.2	156999	-0.1657099	0.015836358	11101.088681	0.048584417
158	0.7	-0.24473682	0.315	56.57895	39.2	157999	-0.18196629	0.01563033	11165.5754921	0.051199898
159	0.5	0.35304347	-0.107999995	43.739132	61.3	158999	-0.18954462	0.014750864	11241.458566	0.055061623
160	0.6	0.111500025	0.065	49.45	54.1	159999	-0.19752392	0.014792129	11311.850184	0.0525664
161	0.6	0.24857149	0.08299999	47.285713	52.3	160999	-0.19222689	0.014595339	11378.989361	0.050544746
162	0.4	-0.44074994	-0.313	24.875	51.9	161999	-0.19446054	0.015639372	11449.8105011	0.053474557
163	0.3	-0.28117645	-0.42800003	57.941177	13.7	162999	-0.18590878	0.0155124515	11507.8181551	0.05276412
164	0.4	-0.50636363	-0.23399997	46.68182	4.4	163999	-0.19158216	0.016105212	11562.6845231	0.05303455
165	0.0	-0.20210524	-1.003	52.31579	90.4	164999	-0.20866781	0.015600151	11645.512012	0.052964523
166	0.3	-0.42000002	-0.6840001	61.1875	39.3	165999	-0.21026233	0.015490678	11712.643471	0.053668827
167	0.4	-0.24200001	-0.282	25.1	29.0	166999	-0.20479368	0.01617051	11775.2564361	0.05309473
168	0.5	-0.087727256	-0.15199998	23.363636	45.9	167999	-0.19276924	0.01685647	11839.9115331	0.050607115
169	0.7	-0.16551721	0.26	34.58621	34.8	168999	-0.18527731	0.017419422	11900.058826	0.0494966
170	0.4	-0.012903223	-0.39599997	31.258064	50.3	169999	-0.1668259	0.017809924	11963.3289711	0.04866888
171	0.4	-0.26818183	-0.281	30.666666	19.0	170999	-0.1884634	0.02007059	12021.427757	0.05118557
